model,cecha,rho_vs_acc_clean,rho_raw_vs_rel_drop,rho_partial_vs_rel_drop
resnet101,zwartość,-0.6024001641138494,0.6486505571372062,0.5712471895220219
resnet101,rozproszenie,-0.5734793116307232,0.6210592392282176,0.5344773925460371
resnet101,margines,0.6441216540047696,-0.3927021390879317,-0.2352724128003924
resnet152,zwartość,-0.6266515916195483,0.6381165577483979,0.569773779855959
resnet152,rozproszenie,-0.5938736046681649,0.5997392697001669,0.5025391443514629
resnet152,margines,0.6381780443297119,-0.3539798491118643,-0.19959695254254234
resnet50,zwartość,-0.5528743992908894,0.5556129886217824,0.47415132273930144
resnet50,rozproszenie,-0.5445683928032139,0.5413384621632532,0.4437163302868897
resnet50,margines,0.5936271535373204,-0.39408717786987046,-0.25150458872125125
vit_b_16,zwartość,-0.6236758582947228,0.6983916543890084,0.6096385855325653
vit_b_16,rozproszenie,-0.650510264811936,0.68975204666081,0.5940767348502612
vit_b_16,margines,0.5479103374380703,-0.23339420911996298,0.008445327129398645
vit_b_32,zwartość,-0.6150083646482652,0.7035529757539518,0.5972889420856144
vit_b_32,rozproszenie,-0.6510465049146379,0.7015830124014748,0.5910642893941128
vit_b_32,margines,0.4923805027767352,-0.2370449567151908,-0.02929078983908861
