feature_delta,rho,p,n,model,method,metric
abs_delta_edge_strength,-0.07336599241466499,0.2731497466444084,225,resnet101,cam,xai_iou
abs_delta_hf_energy,-0.00963337547408344,0.8857380621493414,225,resnet101,cam,xai_iou
abs_delta_brightness,0.055326590813316485,0.40885553791777685,225,resnet101,cam,xai_iou
abs_delta_contrast,0.06779182469447957,0.3113570175464986,225,resnet101,cam,xai_iou
abs_delta_saturation,0.06912031184155078,0.3019479969697036,225,resnet101,cam,xai_iou
abs_delta_colorfulness,0.17976295828065741,0.0068616753601005494,225,resnet101,cam,xai_iou
abs_delta_entropy,0.22074905183312266,0.0008560116620251379,225,resnet101,cam,xai_iou
abs_delta_brightness,-0.4738664835660048,5.376486635879347e-14,225,resnet101,ig,xai_iou
abs_delta_saturation,-0.34995236767147125,6.987248301347068e-08,225,resnet101,ig,xai_iou
abs_delta_colorfulness,-0.29392347379751366,7.334910652882075e-06,225,resnet101,ig,xai_iou
abs_delta_hf_energy,-0.22849875065612973,0.0005519241315105886,225,resnet101,ig,xai_iou
abs_delta_entropy,-0.21094866691431008,0.0014601215862938104,225,resnet101,ig,xai_iou
abs_delta_edge_strength,-0.17234922859905605,0.009590594653716358,225,resnet101,ig,xai_iou
abs_delta_contrast,-0.08323608015318408,0.21359288463654888,225,resnet101,ig,xai_iou
abs_delta_saturation,-0.1894588464719288,0.004345479729639521,225,vit_b_16,cam,xai_iou
abs_delta_hf_energy,-0.0795690591811685,0.2345286498896523,225,vit_b_16,cam,xai_iou
abs_delta_edge_strength,-0.07839207691158452,0.2415445702006182,225,vit_b_16,cam,xai_iou
abs_delta_contrast,-0.019085131027609645,0.7758675601108431,225,vit_b_16,cam,xai_iou
abs_delta_entropy,0.01708573634852673,0.798817955782648,225,vit_b_16,cam,xai_iou
abs_delta_colorfulness,0.021922216758007932,0.7436368580634866,225,vit_b_16,cam,xai_iou
abs_delta_brightness,0.08206316574527353,0.22013827172286496,225,vit_b_16,cam,xai_iou
abs_delta_brightness,-0.5265368624166853,1.8999771979068772e-17,225,vit_b_16,ig,xai_iou
abs_delta_saturation,-0.4567795882531856,5.355538573510092e-13,225,vit_b_16,ig,xai_iou
abs_delta_colorfulness,-0.42833559050136266,1.8712149425841655e-11,225,vit_b_16,ig,xai_iou
abs_delta_entropy,-0.41404511279831424,9.882913944986398e-11,225,vit_b_16,ig,xai_iou
abs_delta_hf_energy,-0.37641389024576644,5.522122706854332e-09,225,vit_b_16,ig,xai_iou
abs_delta_contrast,-0.3044594992515905,3.281258176299285e-06,225,vit_b_16,ig,xai_iou
abs_delta_edge_strength,-0.2509596254105937,0.00014209567023499737,225,vit_b_16,ig,xai_iou
abs_delta_colorfulness,-0.7465480122988879,2.455968466197819e-41,225,vit_b_16,rollout,xai_iou
abs_delta_brightness,-0.7125456766465784,3.582313256342729e-36,225,vit_b_16,rollout,xai_iou
abs_delta_saturation,-0.6020299210019382,1.407495665105597e-23,225,vit_b_16,rollout,xai_iou
abs_delta_entropy,-0.5865969166651239,3.4123314386940486e-22,225,vit_b_16,rollout,xai_iou
abs_delta_hf_energy,-0.5717417676685199,6.279187576225836e-21,225,vit_b_16,rollout,xai_iou
abs_delta_contrast,-0.5174792022120409,8.231985036173722e-17,225,vit_b_16,rollout,xai_iou
abs_delta_edge_strength,-0.4868660381722327,8.568888789953452e-15,225,vit_b_16,rollout,xai_iou
abs_delta_saturation,-0.3435277980214505,1.25045005970953e-07,225,vit_b_32,cam,xai_iou
abs_delta_hf_energy,-0.33444330342481765,2.785495298886158e-07,225,vit_b_32,cam,xai_iou
abs_delta_edge_strength,-0.32304054020242906,7.344346773543215e-07,225,vit_b_32,cam,xai_iou
abs_delta_colorfulness,-0.27405927993555523,3.071846243120485e-05,225,vit_b_32,cam,xai_iou
abs_delta_brightness,-0.20979935993452056,0.0015521189257596273,225,vit_b_32,cam,xai_iou
abs_delta_entropy,-0.195891328458532,0.0031711165742986285,225,vit_b_32,cam,xai_iou
abs_delta_contrast,-0.17670938071781606,0.007888209553374994,225,vit_b_32,cam,xai_iou
abs_delta_brightness,-0.6155860403319185,7.392889096811402e-25,225,vit_b_32,ig,xai_iou
abs_delta_colorfulness,-0.45864314507407167,4.193754368427906e-13,225,vit_b_32,ig,xai_iou
abs_delta_saturation,-0.45165619950550057,1.0410534266983792e-12,225,vit_b_32,ig,xai_iou
abs_delta_contrast,-0.3948203682319693,8.220475543995476e-10,225,vit_b_32,ig,xai_iou
abs_delta_entropy,-0.37474501520393744,6.525303902292093e-09,225,vit_b_32,ig,xai_iou
abs_delta_hf_energy,-0.37430622406562175,6.817003517137802e-09,225,vit_b_32,ig,xai_iou
abs_delta_edge_strength,-0.32981554179277156,4.1481015232238907e-07,225,vit_b_32,ig,xai_iou
abs_delta_brightness,-0.7240849631272778,7.736095323152648e-38,225,vit_b_32,rollout,xai_iou
abs_delta_colorfulness,-0.5727852471898707,5.142072602494461e-21,225,vit_b_32,rollout,xai_iou
abs_delta_contrast,-0.5457816261132551,7.258987774258085e-19,225,vit_b_32,rollout,xai_iou
abs_delta_hf_energy,-0.46091370475998417,3.1069518758958423e-13,225,vit_b_32,rollout,xai_iou
abs_delta_entropy,-0.4558071325872888,6.08087263520393e-13,225,vit_b_32,rollout,xai_iou
abs_delta_saturation,-0.4113703673510713,1.337900103410673e-10,225,vit_b_32,rollout,xai_iou
abs_delta_edge_strength,-0.37804858796629515,4.684872289795225e-09,225,vit_b_32,rollout,xai_iou
